STN---;YEARMODA;TEMP;DEWP;VISIB;;WDSP;;MXSPD;GUST;MAX;MIN;PRCP;SNDP;FRSHTT
85360;19900228;57,4;48,7;6,9;24;7,1;24;15;999,9;64.4*;51.8*;0.00I;999,9;0
85360;19900301;57,4;46,9;6,5;23;10,2;23;18,1;27;64.4*;51.8*;0.00I;999,9;0
85360;19900302;57,7;40,9;6,2;24;12,3;24;17,1;26;64.4*;53.6*;0.00I;999,9;0
85360;19900303;46,9;33,1;6;24;16,3;24;20;31,1;57.2*;42.8*;99,99;999,9;10000
85360;19900304;51,1;41,6;7;24;13,4;24;24,1;27;55.4*;46.4*;99,99;999,9;10000
85360;19900305;53,5;46,1;6,8;24;9,3;24;13;999,9;62.6*;50.0*;99,99;999,9;10000
85360;19900306;56;46,9;6,7;24;8,3;24;12;999,9;62.6*;51.8*;99,99;999,9;10010
85360;19900307;58,1;51,8;6;22;7,3;22;11,1;999,9;62.6*;53.6*;99,99;999,9;10010
85360;19900308;57,4;52,6;3,7;24;3,5;24;12;999,9;66.2*;53.6*;0.00I;999,9;100000
85360;19900309;58,9;49;6,4;24;5,5;24;11,1;999,9;69.8*;51.8*;0.00I;999,9;0
85360;19900310;60,5;48,5;6,3;24;9,8;24;15;999,9;66.2*;55.4*;99,99;999,9;10000
85360;19900311;61,3;53,9;6,5;23;5;23;9,9;999,9;68.0*;57.2*;99,99;999,9;10000
85360;19900312;60,3;54,7;4,5;22;2,6;22;8;999,9;69.8*;51.8*;0.00I;999,9;100000
85360;19900313;59,4;50,8;6,3;24;4,9;24;13;999,9;66.2*;55.4*;0.00I;999,9;0
85360;19900314;58,1;49,7;6,5;23;4,5;23;11,1;999,9;69.8*;50.0*;0.00I;999,9;0
85360;19900315;61,2;49,1;6,1;22;2,5;22;7;999,9;75.2*;48.2*;0.00I;999,9;0
85360;19900316;62,9;49,3;5,9;22;4,6;22;11,1;999,9;73.4*;55.4*;0.00I;999,9;0
85360;19900317;62,4;49,3;6,1;24;5,2;24;9,9;999,9;73.4*;51.8*;0.00I;999,9;0
85360;19900318;63,6;52,2;5,4;24;6,9;24;11,1;999,9;71.6*;55.4*;0.00I;999,9;0
85360;19900319;64,7;52,1;5,9;21;5,1;21;8,9;999,9;75.2*;55.4*;0.00I;999,9;0
85360;19900320;65,1;50,6;6,2;24;5;24;8;999,9;75.2*;57.2*;0.00I;999,9;0
85360;19900321;64,2;48,7;5,8;24;4,3;24;8,9;999,9;78.8*;55.4*;0.00I;999,9;0
85360;19900322;64,2;50,5;5,7;24;5,7;24;17,1;26;77.0*;55.4*;0.00I;999,9;0
85360;19900323;58,8;50,5;6,6;22;10,8;22;19;999,9;64.4*;55.4*;0.00I;999,9;0
85360;19900324;59,8;51,5;6,8;24;11,5;24;25,1;32,1;69.8*;55.4*;0.00I;999,9;0
85360;19900325;63,3;49,6;6,4;24;6,6;24;12;999,9;73.4*;53.6*;0.00I;999,9;0
85360;19900326;62,1;36,5;6,3;24;8,5;24;13;999,9;71.6*;55.4*;0.00I;999,9;0
85360;19900327;59,8;36,6;6,2;24;6,6;24;11,1;20;69.8*;53.6*;0.00I;999,9;0
85360;19900328;58,4;39,4;6,3;24;6,3;24;15;999,9;69.8*;48.2*;0.00I;999,9;0
85360;19900329;59,4;33,4;6,2;24;10,8;24;15,9;999,9;68.0*;51.8*;0.00I;999,9;0
85360;19900330;59,2;36,7;6,4;24;11,7;24;17,1;27;68.0*;50.0*;0.00I;999,9;0
85360;19900331;60;53,8;6,2;22;12,8;22;22;33;68.0*;51.8*;99,99;999,9;10000
85360;19900401;59,7;53,4;5,8;24;12,4;24;18,1;28;62.6*;55.4*;99,99;999,9;10000
85360;19900402;56,4;47,5;6,7;24;9;24;15;999,9;62.6*;51.8*;99,99;999,9;10000
85360;19900403;56,7;46,5;6,7;24;4,3;23;7;999,9;62.6*;53.6*;0.00I;999,9;0
85360;19900404;56;50,3;5,8;17;5,1;17;9,9;999,9;59.0*;50.0*;99,99;999,9;10000
85360;19900405;59,2;54,9;5,7;23;6,9;23;12;999,9;64.4*;55.4*;99,99;999,9;10000
85360;19900406;55;46;6,7;24;11;24;21;31,1;60.8*;51.8*;99,99;999,9;10000
85360;19900407;54,2;48,9;6,4;24;6,7;24;13;21;59.0*;48.2*;99,99;999,9;10010
85360;19900408;54,2;48,3;6,1;24;6,6;24;14;21;59.0*;51.8*;99,99;999,9;10000
85360;19900409;55,4;47;6,8;24;8,7;24;22,9;29,9;64.4*;44.6*;0.00I;999,9;0
85360;19900410;56,3;41,5;6,3;24;9,9;24;15;26;62.6*;46.4*;0.00I;999,9;0
85360;19900411;60;50,3;6,3;24;9,7;24;19;24,1;69.8*;53.6*;0.00I;999,9;0
85360;19900412;59,7;51,4;6,5;24;12;24;21;29,9;68.0*;53.6*;0.00I;999,9;0
85360;19900413;56,9;48;6,8;23;11,9;23;21;29,9;62.6*;51.8*;99,99;999,9;10000
85360;19900414;58,2;46,9;6,9;24;13;24;21;28,9;66.2*;51.8*;0.00I;999,9;0
85360;19900415;59,8;50,5;7;24;9,5;24;15,9;25,1;64.4*;53.6*;0.00I;999,9;0
85360;19900416;59,1;47;6,4;24;11,5;24;18,1;28;68.0*;53.6*;0.00I;999,9;0
85360;19900417;59,9;49,7;6,8;24;11,5;24;17,1;26;68.0*;55.4*;0.00I;999,9;0
85360;19900418;58,4;44,5;6,2;20;11,2;20;15;21;68.0*;51.8*;0.00I;999,9;0
85360;19900419;60,2;47,4;6,4;24;10,9;24;18,1;32,1;71.6*;51.8*;0.00I;999,9;0
85360;19900420;57,3;45,3;6,8;24;12,9;24;22,9;38,1;62.6*;53.6*;99,99;999,9;10000
85360;19900421;53,5;41;6,8;24;8,5;24;22;33;60.8*;46.4*;99,99;999,9;10000
85360;19900422;54,7;45;6,7;24;9,8;24;18,1;27;62.6*;50.0*;99,99;999,9;10000
85360;19900423;57,7;46,7;6,3;23;11,7;23;15,9;28;64.4*;53.6*;0.00I;999,9;0
85360;19900424;58,3;48,4;6,1;24;11,3;24;17,1;26;66.2*;53.6*;0.00I;999,9;0
85360;19900425;58,7;48,3;5,6;24;5;24;14;999,9;71.6*;51.8*;99,99;999,9;10010
85360;19900426;58,2;47,7;6,3;24;7;24;13;999,9;68.0*;50.0*;99,99;999,9;10010
85360;19900427;67,4;44,5;6,3;22;10,5;22;17,1;999,9;77.0*;57.2*;0.00I;999,9;10
85360;19900428;61,2;55,2;5,6;24;7,6;24;13;20;69.8*;55.4*;99,99;999,9;10010
85360;19900429;60,8;54,7;6,8;24;6;24;11,1;999,9;69.8*;53.6*;99,99;999,9;10000
85360;19900430;62,1;55,4;5,9;24;4,7;24;15,9;999,9;73.4*;57.2*;99,99;999,9;10010
85360;19900501;64,2;55,9;6,3;24;5,3;24;9,9;999,9;73.4*;59.0*;99,99;999,9;10010
85360;19900502;64,2;53,6;6,5;22;7,2;22;11,1;999,9;75.2*;57.2*;99,99;999,9;10000
85360;19900503;67,3;49,7;6,4;22;7,2;22;12;999,9;75.2*;59.0*;0.00I;999,9;0
85360;19900504;68,5;46,9;6,2;23;7,2;23;13;999,9;78.8*;59.0*;0.00I;999,9;0
85360;19900506;68,4;54,5;6,1;24;2,8;24;8;999,9;78.8*;59.0*;0.00I;999,9;0
85360;19900507;68,1;55,8;4,9;24;4,3;24;9,9;999,9;77.0*;60.8*;99,99;999,9;10000
85360;19900508;68,4;56,8;4,6;24;3,4;24;7;999,9;78.8*;60.8*;0.00I;999,9;0
85360;19900509;66,9;57,1;3,9;24;4,6;24;15;25,1;77.0*;57.2*;99,99;999,9;10010
85360;19900510;69,8;54,9;6,3;22;8,1;22;14;26;80.6*;60.8*;0.00I;999,9;0
85360;19900511;67,7;57;5,9;23;5,8;23;12;999,9;78.8*;60.8*;0.00I;999,9;0
85360;19900512;63,1;54,5;6,6;24;7,7;24;15;999,9;68.0*;59.0*;99,99;999,9;10000
85360;19900513;64,8;56,5;7;24;6,2;24;9,9;999,9;71.6*;59.0*;0.00I;999,9;0
